"FY_YEAR","ORG_ROLL_NM","ORG_SHRT_NM","SORG_ROLL_CD","DOD_GRP_NM","DOD_OCC_NM","POS_TYP_CD","TOTAL"
"2015","Army","ARNG","G","Seamanship","Small Boat Operators","E",23
"2015","Army","ARNG","G","Dental Care","Dental Hygiene","E",5
"2015","Army","ARNG","G","Dental Care","Dental Care, General","E",486
"2015","Army","ARNG","G","Photography","Photography, General","E",49
"2015","Army","ARNG","G","Radio/Radar","Communications Radio","E",6633
"2015","Army","ARNG","G","Radio/Radar","Surveillance/Target Acquisition and Tracking Radar","E",144
"2015","Army","ARNG","G","Radio/Radar","Navigation, Communication and Countermeasure, N.E.C.","E",3494
"2015","Army","ARNG","G","Construction","Woodworking","E",2189
"2015","Army","ARNG","G","Construction","Construction, General","E",1274
"2015","Army","ARNG","G","Construction","Construction Equipment Operation","E",8022
"2015","Army","ARNG","G","Food Service","Food Service, General","E",7004
"2015","Army","ARNG","G","Intelligence","Counterintelligence","E",263
"2015","Army","ARNG","G","Intelligence","Image Interpretation","E",352
"2015","Army","ARNG","G","Intelligence","Operational Intelligence","E",3157
"2015","Army","ARNG","G","Intelligence","Language Interrogation/Interpretation","E",1508
"2015","Army","ARNG","G","Medical Care","Orthopedic Services","E",1
"2015","Army","ARNG","G","Medical Care","Licensed Practical Nurse","E",4
"2015","Army","ARNG","G","Medical Care","Respiratory Therapy Services","E",1
"2015","Army","ARNG","G","Medical Care","Operating Room Services/Surgery","E",10
"2015","Army","ARNG","G","Medical Care","Medical Care and Treatment, General","E",11900
"2015","Army","ARNG","G","Medical Care","Physical/Occupational Therapy Services","E",6
"2015","Army","ARNG","G","Medical Care","Behavioral Sciences/Mental Health Services","E",176
"2015","Army","ARNG","G","Metalworking","Machinists","E",1152
"2015","Army","ARNG","G","Administration","Legal","E",787
"2015","Army","ARNG","G","Administrators","Police","O",1609
"2015","Army","ARNG","G","Administrators","Information","O",156
"2015","Army","ARNG","G","Administrators","Data Processing","O",523
"2015","Army","ARNG","G","Administrators","Morale and Welfare","O",50
"2015","Army","ARNG","G","Administrators","Manpower and Personnel","O",1818
"2015","Army","ARNG","G","Administrators","Comptrollers and Fiscal","O",321
"2015","Army","ARNG","G","Auxiliary Labor","Auxiliary Labor, General","E",4
"2015","Army","ARNG","G","Data Processing","Operations/Analysts","E",4027
"2015","Army","ARNG","G","Law Enforcement","Corrections","E",699
"2015","Army","ARNG","G","Law Enforcement","Investigations","E",11
"2015","Army","ARNG","G","Law Enforcement","Law Enforcement, General","E",16038
"2015","Army","ARNG","G","Motor Transport","Railway Operators","E",3
"2015","Army","ARNG","G","Motor Transport","Motor Vehicle Operators","E",20161
"2015","Army","ARNG","G","Personal Service","Laundry and Personal Service, General","E",227
"2015","Army","ARNG","G","Unknown, Officer","Unknown, Officer","O",35
"2015","Army","ARNG","G","Unknown, Enlisted","Unknown, Enlisted","E",153
"2015","Army","ARNG","G","Clerical/Personnel","First Sergeants, Sergeants Major, and Leading Chiefs","E",150
"2015","Army","ARNG","G","Combat Engineering","Combat Engineering, General","E",9565
"2015","Army","ARNG","G","Wire Communications","Linemen","E",663
"2015","Army","ARNG","G","Armor and Amphibious","Armor and Amphibious, General","E",2268
"2015","Army","ARNG","G","Health Care Officers","Urology","O",9
"2015","Army","ARNG","G","Health Care Officers","Pharmacy","O",3
"2015","Army","ARNG","G","Health Care Officers","Neurology","O",7
"2015","Army","ARNG","G","Health Care Officers","Optometry","O",2
"2015","Army","ARNG","G","Health Care Officers","Pathology","O",4
"2015","Army","ARNG","G","Health Care Officers","Entomology","O",4
"2015","Army","ARNG","G","Health Care Officers","Nephrology","O",1
"2015","Army","ARNG","G","Health Care Officers","Psychiatry","O",19
"2015","Army","ARNG","G","Health Care Officers","Dermatology","O",2
"2015","Army","ARNG","G","Health Care Officers","Endodontics","O",1
"2015","Army","ARNG","G","Health Care Officers","Pedodontics","O",1
"2015","Army","ARNG","G","Health Care Officers","Social Work","O",134
"2015","Army","ARNG","G","Health Care Officers","Biochemistry","O",1
"2015","Army","ARNG","G","Health Care Officers","Orthodontics","O",2
"2015","Army","ARNG","G","Health Care Officers","Periodontics","O",2
"2015","Army","ARNG","G","Health Care Officers","Ophthalmology","O",7
"2015","Army","ARNG","G","Health Care Officers","Veterinarians","O",5
"2015","Army","ARNG","G","Health Care Officers","Anesthesiology","O",16
"2015","Army","ARNG","G","Health Care Officers","Oral Pathology","O",1
"2015","Army","ARNG","G","Health Care Officers","Prosthodontics","O",3
"2015","Army","ARNG","G","Health Care Officers","Family Practice","O",179
"2015","Army","ARNG","G","Health Care Officers","General Surgery","O",35
"2015","Army","ARNG","G","Health Care Officers","Plastic Surgery","O",4
"2015","Army","ARNG","G","Health Care Officers","Gastroenterology","O",2
"2015","Army","ARNG","G","Health Care Officers","General Medicine","O",42
"2015","Army","ARNG","G","Health Care Officers","Obstetrics Nurse","O",2
"2015","Army","ARNG","G","Health Care Officers","Physical Therapy","O",39
"2015","Army","ARNG","G","Health Care Officers","General Dentistry","O",315
"2015","Army","ARNG","G","Health Care Officers","Internal Medicine","O",108
"2015","Army","ARNG","G","Health Care Officers","Nurse Anesthetist","O",2
"2015","Army","ARNG","G","Health Care Officers","Emergency Medicine","O",108
"2015","Army","ARNG","G","Health Care Officers","Executive Medicine","O",1
"2015","Army","ARNG","G","Health Care Officers","Orthopedic Surgery","O",20
"2015","Army","ARNG","G","Health Care Officers","Critical Care Nurse","O",12
"2015","Army","ARNG","G","Health Care Officers","Executive Dentistry","O",3
"2015","Army","ARNG","G","Health Care Officers","Otorhinolaryngology","O",5
"2015","Army","ARNG","G","Health Care Officers","Pediatrics, General","O",23
"2015","Army","ARNG","G","Health Care Officers","Physician Assistant","O",860
"2015","Army","ARNG","G","Health Care Officers","Preventive Medicine","O",3
"2015","Army","ARNG","G","Health Care Officers","Audiology and Speech","O",1
"2015","Army","ARNG","G","Health Care Officers","Clinical Laboratory ","O",2
"2015","Army","ARNG","G","Health Care Officers","Neurological Surgery","O",3
"2015","Army","ARNG","G","Health Care Officers","Occupational Therapy","O",1
"2015","Army","ARNG","G","Health Care Officers","Operating Room Nurse","O",3
"2015","Army","ARNG","G","Health Care Officers","Psychology, Clinical","O",71
"2015","Army","ARNG","G","Health Care Officers","Obstetrics/Gynecology","O",22
"2015","Army","ARNG","G","Health Care Officers","Occupational Medicine","O",5
"2015","Army","ARNG","G","Health Care Officers","Radiology, Diagnostic","O",5
"2015","Army","ARNG","G","Health Care Officers","Community Health Nurse","O",9
"2015","Army","ARNG","G","Health Care Officers","Emergency/Trauma Nurse","O",7
"2015","Army","ARNG","G","Health Care Officers","Medical/Surgical Nurse","O",464
"2015","Army","ARNG","G","Health Care Officers","Radiology, Therapeutic","O",1
"2015","Army","ARNG","G","Health Care Officers","Hematology and Oncology","O",3
"2015","Army","ARNG","G","Health Care Officers","Nuclear Medical Science","O",9
"2015","Army","ARNG","G","Health Care Officers","Cardiac/Thoracic Surgery","O",1
"2015","Army","ARNG","G","Health Care Officers","General and Other Nurses","O",2
"2015","Army","ARNG","G","Health Care Officers","Family Nurse Practitioner","O",83
"2015","Army","ARNG","G","Health Care Officers","Oral Maxillofacial Surgery","O",1
"2015","Army","ARNG","G","Health Care Officers","Pediatrics, Subspecialties","O",2
"2015","Army","ARNG","G","Health Care Officers","Peripheral Vascular Surgery","O",1
"2015","Army","ARNG","G","Health Care Officers","Environmental Health Services","O",149
"2015","Army","ARNG","G","Health Care Officers","Health Services Administration","O",1488
"2015","Army","ARNG","G","Health Care Officers","Physical/Rehabilitation Medicine","O",4
"2015","Army","ARNG","G","Health Care Officers","Biomedical Equipment Maintenance and Repair ","O",4
"2015","Army","ARNG","G","Health Care Officers","Other Biomedical Science and Allied Health Officers","O",1
"2015","Army","ARNG","G","Health Care Officers","Aviation/Aerospace Medicine, Residency Trained Aerospace","O",23
"2015","Army","ARNG","G","Radio and Radio Code","Radio Code","E",296
"2015","Army","ARNG","G","Shipboard Propulsion","Auxiliaries","E",18
"2015","Army","ARNG","G","Intelligence Officers","Counterintelligence","O",102
"2015","Army","ARNG","G","Intelligence Officers","Intelligence, General","O",2079
"2015","Army","ARNG","G","Intelligence Officers","Communications Intelligence","O",55
"2015","Army","ARNG","G","Armament and Munitions","Ammunition Repair","E",1224
"2015","Army","ARNG","G","Armament and Munitions","Aviation Ordnance","E",468
"2015","Army","ARNG","G","Armament and Munitions","Small Arms Repair","E",1566
"2015","Army","ARNG","G","Patients and Prisoners","Patients","E",48
"2015","Army","ARNG","G","Other Functional Support","Unit Supply","E",193
"2015","Army","ARNG","G","Other Functional Support","Transportation","E",559
"2015","Army","ARNG","G","Other Functional Support","Flight Operations","E",1700
"2015","Army","ARNG","G","Other Functional Support","Supply Administration","E",19391
"2015","Army","ARNG","G","Undesignated Occupations","Undesignated Occupations, General","E",92
"2015","Army","ARNG","G","Ancillary Medical Support","Pharmacy","E",34
"2015","Army","ARNG","G","Ancillary Medical Support","Radiology","E",152
"2015","Army","ARNG","G","Ancillary Medical Support","Biomedical Laboratory Services","E",121
"2015","Army","ARNG","G","Combat Operations Control","Combat Operations Control, General","E",11664
"2015","Army","ARNG","G","Information and Education","Information and Education, General","E",677
"2015","Army","ARNG","G","Non-Occupational, Officer","Patients","O",3
"2015","Army","ARNG","G","Non-Occupational, Officer","Students","O",240
"2015","Army","ARNG","G","Non-Occupational, Officer","Non-Occupational, Other","O",4250
"2015","Army","ARNG","G","Other Electronic Equipment","Electronic Instruments, N.E.C.","E",918
"2015","Army","ARNG","G","Power Generating Equipment","Electric Power","E",2592
"2015","Army","ARNG","G","Not Occupationally Qualified","Not Occupationally Qualified, General","E",1808
"2015","Army","ARNG","G","Ordnance Disposal and Diving","Divers","E",13
"2015","Army","ARNG","G","Ordnance Disposal and Diving","EOD/UDT","E",316
"2015","Army","ARNG","G","Scientists and Professionals","Legal","O",929
"2015","Army","ARNG","G","Scientists and Professionals","Chaplains","O",686
"2015","Army","ARNG","G","Scientists and Professionals","Psychologists","O",10
"2015","Army","ARNG","G","Scientists and Professionals","Social Scientists","O",33
"2015","Army","ARNG","G","Scientists and Professionals","Physical Scientists","O",3
"2015","Army","ARNG","G","Scientists and Professionals","Mathematicians and Statisticians","O",14
"2015","Army","ARNG","G","Scientists and Professionals","Research and Development Coordinators","O",18
"2015","Army","ARNG","G","Tactical Operations Officers","Operations Staff","O",596
"2015","Army","ARNG","G","Tactical Operations Officers","Helicopter Pilots","O",5072
"2015","Army","ARNG","G","Tactical Operations Officers","Ground and Naval Arms","O",8187
"2015","Army","ARNG","G","Tactical Operations Officers","Other Fixed-Wing Pilots","O",322
"2015","Army","ARNG","G","Tactical Operations Officers","Unmanned Vehicle (UV) Operators","O",62
"2015","Army","ARNG","G","Aircraft and Aircraft Related","Aircraft Engines","E",477
"2015","Army","ARNG","G","Aircraft and Aircraft Related","Aircraft, General","E",6707
"2015","Army","ARNG","G","Aircraft and Aircraft Related","Aircraft Structures","E",512
"2015","Army","ARNG","G","Aircraft and Aircraft Related","Aircraft Accessories","E",1283
"2015","Army","ARNG","G","Radar and Air Traffic Control","Radar","E",417
